country,pwght,wght_eq1000
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
Albania,0.139921742,0.696864111
