country,population,region,3/2/2022,3/3/2022,3/4/2022,3/5/2022,3/6/2022,3/7/2022,3/8/2022,3/9/2022,3/10/2022,3/11/2022
Syria,"20,384,316",Middle East,0,0,2,2,2,2,2,2,2,2
Taiwan,"23,572,052",Asia,5,9,9,9,11,11,15,15,15,20
Thailand,"69,480,520",Southeast Asia,7,7,13,17,19,22,22,22,22,22
Turkey,"82,482,383",Middle East,29,38,44,49,55,55,69,74,78,82
Uganda,"44,712,143",Africa,0,0,0,0,3,3,3,3,3,3
Ukraine,"43,745,640",Ukraine,1235,2205,2470,2876,3252,3648,4582,4726,5097,5823
United Arab Emirates,"9,856,612",Middle East,13,17,20,29,38,53,113,120,133,137
United Kingdom,"67,081,000",Europe,151,222,249,302,312,370,510,552,641,894
United States,"334,998,398",North America,1055,1527,1686,2132,2342,2678,3487,3662,3928,4559
Uruguay,"3,398,239",South America,0,2,2,4,4,4,4,4,4,4
Uzbekistan,"30,842,796",Asia,0,0,0,0,0,0,0,2,2,4
Venezuela,"29,069,153",South America,3,3,3,6,6,6,8,9,12,12
Vietnam,"102,789,598",Southeast Asia,4,4,4,13,15,15,15,15,16,16
Zambia,"19,077,816",Africa,1,1,1,1,1,1,1,1,1,1
