Published,Headline,Summary,Summary Word count,Link,Domain,Image Link,Facebook Predicted Score,Facebook Overperforming,Link URL,Highest Velocity,Branded Content,Branded Page Name,Branded Page URL,Facebook Interactions,Facebook Likes,Facebook Shares,Facebook Comments,Facebook Page Name,Facebook Media Type,Facebook Loves,Facebook Hahas,Facebook Wows,Facebook Sads,Facebook Angrys,Video Duration (seconds)
2022-02-28T18:59:02,Ukraine assembles an 'IT army' to attack Russia in cyberspace,"The volunteer 'army' is being organized through Telegram and already boasts over 220,000 members, Tech Crunch reported",17,https://www.facebook.com/20446254070_10159302806054071,businessinsider.com,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQHttQMTWfkrotK1&url=https%3A%2F%2Fi.insider.com%2F621ce93f101faf0019296b87%3Fwidth%3D1200%26format%3Djpeg&ext=emg0&_nc_oe=6fa86&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQG4sCIi2VWW85os,Prediction unavailable,0x,https://www.businessinsider.com/ukraine-assembles-it-army-to-attack-russia-in-cyberspace-2022-2,136,FALSE,,,263,204,7,4,Business Insider,Link,41,3,4,0,0,
2022-02-27T19:00:16,"Ukraine Enlists Hackers in 'IT Army' Targeting Russia, Belarus","Ukraine has responded to Russia's invasion by calling on hackers around the world to conduct ""operational tasks"" against specific Russian corporations, banks, and government agencies.",25,https://www.facebook.com/45041537375_10160056416882376,pcmag.com,https://external-ort2-1.xx.fbcdn.net/safe_image.php?d=AQGOnvhZNvgB5xjL&url=https%3A%2F%2Fi.pcmag.com%2Fimagery%2Farticles%2F06oO37Y84DiXEW1co7Chaz2-1.fit_lim.size_1200x630.v1645972185.jpg&ext=emg0&_nc_oe=6fa6e&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQGQmYqe4nWWLdKO,Prediction unavailable,1.78x,https://www.pcmag.com/news/ukraine-enlists-hackers-in-it-army-targeting-russia-belarus,73,FALSE,,,204,141,13,9,Geek.com,Link,31,7,2,0,1,
2022-03-03T23:00:14,Ukraine's 'IT Army' Is Attempting to Take Russia's GPS System Offline,"Last week, Ukraine managed to recruit a small army of hackers to try and disrupt Russian corporations, banks, and government agencies. Now they are going after Russia's GPS system called the Global Navigation Satellite System (GLONASS).",36,https://www.facebook.com/45041537375_10160064376327376,pcmag.com,https://external-ort2-1.xx.fbcdn.net/safe_image.php?d=AQHI_AMuWNu_Bxiq&url=https%3A%2F%2Fi.pcmag.com%2Fimagery%2Farticles%2F03pyVzwUnDDAM2bOfAGY9TH-1.fit_lim.size_1200x630.v1646327288.jpg&ext=emg0&_nc_oe=6fad2&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQHT9MxCyp1TMgNm,Prediction unavailable,1.45x,https://www.pcmag.com/news/ukraines-it-army-is-attempting-to-take-russias-gps-system-offline,35,FALSE,,,163,118,9,11,Geek.com,Link,16,6,2,0,1,
2022-02-28T18:20:29,Ukraine assembles an 'IT army' to attack Russia in cyberspace,"The volunteer 'army' is being organized through Telegram and already boasts over 220,000 members, Tech Crunch reported",17,https://www.facebook.com/352751268256569_2433114370220238,businessinsider.com,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQHttQMTWfkrotK1&url=https%3A%2F%2Fi.insider.com%2F621ce93f101faf0019296b87%3Fwidth%3D1200%26format%3Djpeg&ext=emg0&_nc_oe=6fa85&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQEVLThGK7Bh8y__,Prediction unavailable,0x,https://www.businessinsider.com/ukraine-assembles-it-army-to-attack-russia-in-cyberspace-2022-2,99,FALSE,,,119,95,9,3,Tech Insider,Link,10,1,1,0,0,
2022-03-01T13:15:12,"Ukraine is building an IT army to hack websites from Russia, report says","Ukraine is assembling an “IT army” to hack websites from Russia and its allies, urging technology leaders to get involved, according to a report by TechCrunch. The “IT Army of Ukraine“ already has around 184,000 users on its main Telegram channel, which is being used to name specific projects and call-outs for help to shut down Russian sites, Russian agents and those working in concert with the country, and to mobilise those living in Ukraine around work they can do, TechCrunch reported. 
https://trib.al/Q4LuoKJ",83,https://www.facebook.com/163974433696568_5102079793219316,thehindu.com,https://external-lga3-1.xx.fbcdn.net/safe_image.php?d=AQFBN1L28w9yhbxm&url=https%3A%2F%2Fwww.thehindu.com%2Fsci-tech%2Ftechnology%2F4437ug%2Farticle65094733.ece%2Falternates%2FLANDSCAPE_615%2Fcyberatt.jpg&ext=emg0&_nc_oe=6fa98&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQHzbrH0ab4wlh5i,Prediction unavailable,0x,https://www.thehindu.com/sci-tech/technology/ukraine-is-building-an-it-army-to-hack-websites-from-russia-report-says/article65094757.ece,30,FALSE,,,84,51,4,5,The Hindu,Link,9,13,2,0,0,
2022-03-08T12:00:12,Ukraine's 'IT Army' Is Attempting to Take Russia's GPS System Offline,"Ukraine managed to recruit a small army of hackers to try and disrupt Russian corporations, banks, and government agencies. Now they are going after Russia's GPS system.",27,https://www.facebook.com/15551698395_10159755929748396,pcmag.com,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQHI_AMuWNu_Bxiq&url=https%3A%2F%2Fi.pcmag.com%2Fimagery%2Farticles%2F03pyVzwUnDDAM2bOfAGY9TH-1.fit_lim.size_1200x630.v1646327288.jpg&ext=emg0&_nc_oe=6fb3f&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQEyghGq6phTSOuS,Prediction unavailable,0x,https://www.pcmag.com/news/ukraines-it-army-is-attempting-to-take-russias-gps-system-offline,61,FALSE,,,82,61,5,2,PCMag,Link,11,1,0,0,2,
2022-02-28T16:30:31,"Ukraine is building an IT army to hack websites from Russia, report says","Ukraine is assembling an “IT army” to hack websites from Russia and its allies, urging technology leaders to get involved, according to a report by TechCrunch.
https://trib.al/Bjl3G4J",27,https://www.facebook.com/163974433696568_5099761223451173,thehindu.com,https://external-ort2-1.xx.fbcdn.net/safe_image.php?d=AQFBN1L28w9yhbxm&url=https%3A%2F%2Fwww.thehindu.com%2Fsci-tech%2Ftechnology%2F4437ug%2Farticle65094733.ece%2Falternates%2FLANDSCAPE_615%2Fcyberatt.jpg&ext=emg0&_nc_oe=6fa84&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQHTgF1K3I5D6k-z,Prediction unavailable,0x,https://www.thehindu.com/sci-tech/technology/ukraine-is-building-an-it-army-to-hack-websites-from-russia-report-says/article65094757.ece,48,FALSE,,,66,50,0,5,The Hindu,Link,0,11,0,0,0,
2022-02-28T18:02:09,Ukraine assembles an 'IT army' to attack Russia in cyberspace,"The volunteer 'army' is being organized through Telegram and already boasts over 220,000 members, Tech Crunch reported",17,https://www.facebook.com/1413475698959824_3090192314621479,businessinsider.com,https://external-ort2-1.xx.fbcdn.net/safe_image.php?d=AQHttQMTWfkrotK1&url=https%3A%2F%2Fi.insider.com%2F621ce93f101faf0019296b87%3Fwidth%3D1200%26format%3Djpeg&ext=emg0&_nc_oe=6fa85&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQEVLThGK7Bh8y__,Prediction unavailable,0x,https://www.businessinsider.com/ukraine-assembles-it-army-to-attack-russia-in-cyberspace-2022-2,40,FALSE,,,44,31,4,0,Insider,Link,6,2,1,0,0,
2022-03-06T13:00:23,Ukraine's 'IT Army' Is Attempting to Take Russia's GPS System Offline,"Last week, Ukraine managed to recruit a small army of hackers to try and disrupt Russian corporations, banks, and government agencies. Now they are going after Russia's GPS system called the Global Navigation Satellite System (GLONASS).",36,https://www.facebook.com/45041537375_10160068764272376,pcmag.com,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQHI_AMuWNu_Bxiq&url=https%3A%2F%2Fi.pcmag.com%2Fimagery%2Farticles%2F03pyVzwUnDDAM2bOfAGY9TH-1.fit_lim.size_1200x630.v1646327288.jpg&ext=emg0&_nc_oe=6fb10&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQF-hF82ZXaJpvwl,Prediction unavailable,0x,https://www.pcmag.com/news/ukraines-it-army-is-attempting-to-take-russias-gps-system-offline,25,FALSE,,,24,16,0,3,Geek.com,Link,2,2,0,0,1,
2022-03-05T09:00:16,Ukraine's 'IT Army' Is Attempting to Take Russia's GPS System Offline,"Last week, Ukraine managed to recruit a small army of hackers to try and disrupt Russian corporations, banks, and government agencies. Now they are going after Russia's GPS system called the Global Navigation Satellite System (GLONASS).",36,https://www.facebook.com/45041537375_10160066667547376,pcmag.com,https://external-iad3-1.xx.fbcdn.net/safe_image.php?url=https%3A%2F%2Fi.pcmag.com%2Fimagery%2Farticles%2F03pyVzwUnDDAM2bOfAGY9TH-1.fit_lim.size_1200x630.v1646327288.jpg&ext=emg0&_nc_oe=6faf4&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQEdG1PuWGEPPmb6,Prediction unavailable,0x,https://www.pcmag.com/news/ukraines-it-army-is-attempting-to-take-russias-gps-system-offline,9,FALSE,,,13,9,1,2,Geek.com,Link,0,0,0,0,1,
