Region,Total_Population,Sample_Population,DDOS_Users,Public_Interest,Media_Interest
Africa,0.082521173,0.03074267,0.0000000109611,0.0000005123631,0.0000000013367
Asia,0.296414773,0.221527673,0.0000000964440,0.0000019434508,0.0000000205186
Europe,0.050025332,0.049849621,0.0000026909421,0.0000611389636,0.0000000153054
Middle_East,0.026299799,0.020295553,0.0000000260660,0.0000001009889,0.0000000022056
North_America,0.040135217,0.034258779,0.0000003505537,0.0000194815599,0.0000000602190
Oceania,0.002920282,0.002058637,0.0000000479881,0.0000006483070,0.0000000040101
South_America,0.029231315,0.027028483,0.0000000262665,0.0000000491243,0.0000000003342
Southeast_Asia,0.045505485,0.041097352,0.0000000176446,0.0000006037276,0.0000000065499
